mhwp_username,Date,Day,09:00-10:00 (0),10:00-11:00 (1),11:00-12:00 (2),12:00-13:00 (3),13:00-14:00 (4),14:00-15:00 (5),15:00-16:00 (6)
hougege,2024-12-02 00:00:00,Monday,■,■,■,■,■,■,■
hougege,2024-12-03 00:00:00,Tuesday,□,□,□,□,□,□,□
hougege,2024-12-04 00:00:00,Wednesday,■,■,■,■,■,■,■
hougege,2024-12-05 00:00:00,Thursday,■,■,■,■,■,□,□
hougege,2024-12-06 00:00:00,Friday,■,■,■,■,■,□,□
hougege,2024-12-07 00:00:00,Saturday,□,□,□,□,□,□,□
hougege,2024-12-08 00:00:00,Sunday,□,□,□,□,□,□,□
hougege,2024-12-09 00:00:00,Monday,■,■,■,■,■,■,■
hougege,2024-12-10 00:00:00,Tuesday,□,□,□,□,□,□,□
hougege,2024-12-11 00:00:00,Wednesday,■,■,■,■,■,■,■
hougege,2024-12-12 00:00:00,Thursday,■,■,■,■,■,□,□
hougege,2024-12-13 00:00:00,Friday,■,■,■,■,■,□,□
hougege,2024-12-14 00:00:00,Saturday,□,□,□,□,□,□,□
hougege,2024-12-15 00:00:00,Sunday,□,□,□,□,□,□,□
hougege,2024-12-16 00:00:00,Monday,■,■,■,■,■,■,■
hougege,2024-12-17 00:00:00,Tuesday,□,□,□,□,□,□,□
hougege,2024-12-18 00:00:00,Wednesday,■,■,■,■,■,■,■
hougege,2024-12-19 00:00:00,Thursday,■,■,■,■,■,□,□
hougege,2024-12-20 00:00:00,Friday,■,■,■,■,■,□,□
hougege,2024-12-21 00:00:00,Saturday,□,□,□,□,□,□,□
hougege,2024-12-22 00:00:00,Sunday,□,□,□,□,□,□,□
hougege,2024-12-23 00:00:00,Monday,■,■,■,■,■,■,■
hougege,2024/12/23,Monday,■,■,■,■,■,■,■
hougege,2024/12/30,Monday,■,■,■,■,■,■,■
hougege,2025/01/06,Monday,■,■,■,■,■,■,■
hougege,2024/12/24,Tuesday,□,□,□,□,□,□,□
hougege,2024/12/31,Tuesday,□,□,□,□,□,□,□
hougege,2024/12/25,Wednesday,■,■,■,■,■,■,■
hougege,2025/01/01,Wednesday,■,■,■,■,■,■,■
hougege,2024/12/26,Thursday,■,■,■,■,■,□,□
hougege,2025/01/02,Thursday,■,■,■,■,■,□,□
hougege,2024/12/27,Friday,■,■,■,■,■,□,□
hougege,2025/01/03,Friday,■,■,■,■,■,□,□
hougege,2024/12/28,Saturday,□,□,□,□,□,□,□
hougege,2025/01/04,Saturday,□,□,□,□,□,□,□
hougege,2024/12/29,Sunday,□,□,□,□,□,□,□
hougege,2025/01/05,Sunday,□,□,□,□,□,□,□
